Gene ID;source_id;Product Description;Chromosome;Genomic Location (Gene);Gene Name or Symbol;gene_source_id
PF3D7_0312400;PF3D7_0312400.1;glycogen synthase kinase 3;3;Pf3D7_03_v3:524,154..526,439(-);GSK3;PF3D7_0312400
PF3D7_0313100;PF3D7_0313100.1;ubiquitin-protein ligase, putative;3;Pf3D7_03_v3:539,743..542,810(+);3 HRD;PF3D7_0313100
PF3D7_0316900;PF3D7_0316900.1;E3 ubiquitin-protein ligase, putative;3;Pf3D7_03_v3:679,234..681,277(-);null;PF3D7_0316900
PF3D7_0317200;PF3D7_0317200.1;cdc2-related protein kinase 4;3;Pf3D7_03_v3:690,154..694,815(-);CRK4;PF3D7_0317200
PF3D7_0319000;PF3D7_0319000.1;P-type ATPase, putative;3;Pf3D7_03_v3:795,577..801,171(+);ATPase7;PF3D7_0319000
PF3D7_0319700;PF3D7_0319700.1;ABC transporter I family member 1, putative;3;Pf3D7_03_v3:820,708..830,802(+);ABCI3;PF3D7_0319700
PF3D7_0320700;PF3D7_0320700.1;signal peptidase complex subunit 2;3;Pf3D7_03_v3:865,014..866,420(+);SPC25;PF3D7_0320700
PF3D7_0320800;PF3D7_0320800.1;ATP-dependent RNA helicase DDX6;3;Pf3D7_03_v3:870,817..872,342(+);DOZI;PF3D7_0320800
PF3D7_0404700;PF3D7_0404700.1;dipeptidyl aminopeptidase 3;4;Pf3D7_04_v3:260,454..263,418(-);DPAP3;PF3D7_0404700
PF3D7_0410300;PF3D7_0410300.1;protein phosphatase PPM1, putative;4;Pf3D7_04_v3:470,528..473,596(-);PPM1;PF3D7_0410300
PF3D7_0416400;PF3D7_0416400.1;histone acetyltransferase, putative;4;Pf3D7_04_v3:718,202..722,654(+);HAT1;PF3D7_0416400
PF3D7_0417200;PF3D7_0417200.1;bifunctional dihydrofolate reductase-thymidylate synthase;4;Pf3D7_04_v3:748,088..749,914(+);DHFR-TS;PF3D7_0417200
PF3D7_0417800;PF3D7_0417800.1;cdc2-related protein kinase 1;4;Pf3D7_04_v3:787,243..789,342(-);CRK1;PF3D7_0417800
PF3D7_0503500;PF3D7_0503500.1;protein kinase, putative;5;Pf3D7_05_v3:142,871..145,423(-);null;PF3D7_0503500
PF3D7_0507500;PF3D7_0507500.1;subtilisin-like protease 1;5;Pf3D7_05_v3:307,490..309,556(-);SUB1;PF3D7_0507500
PF3D7_0511500;PF3D7_0511500.1;RNA pseudouridylate synthase, putative;5;Pf3D7_05_v3:486,602..516,787(+);null;PF3D7_0511500
PF3D7_0515300;PF3D7_0515300.1;phosphatidylinositol 3-kinase;5;Pf3D7_05_v3:628,981..635,382(+);PI3K;PF3D7_0515300
PF3D7_0515900;PF3D7_0515900.1;NLI interacting factor-like phosphatase, putative;5;Pf3D7_05_v3:660,150..661,136(-);NIF2;PF3D7_0515900
PF3D7_0520100;PF3D7_0520100.1;protein phosphatase PPM9, putative;5;Pf3D7_05_v3:831,617..834,343(+);PPM9;PF3D7_0520100
PF3D7_0528800;PF3D7_0528800.1;nucleolar preribosomal GTPase, putative;5;Pf3D7_05_v3:1,180,425..1,182,038(-);null;PF3D7_0528800
PF3D7_0605300;PF3D7_0605300.1;serine/threonine protein kinase;6;Pf3D7_06_v3:222,739..224,287(+);ARK1;PF3D7_0605300
PF3D7_0615100;PF3D7_0615100.1;enoyl-acyl carrier reductase;6;Pf3D7_06_v3:623,023..624,321(-);ENR;PF3D7_0615100
PF3D7_0615300;PF3D7_0615300.1;GPI-anchored wall transfer protein 1, putative;6;Pf3D7_06_v3:627,693..630,317(-);GWT1;PF3D7_0615300
PF3D7_0615500;PF3D7_0615500.1;cdc2-related protein kinase 5;6;Pf3D7_06_v3:644,052..646,169(+);CRK5;PF3D7_0615500
PF3D7_0623800;PF3D7_0623800.1;tyrosine kinase-like protein, putative;6;Pf3D7_06_v3:963,741..970,955(-);TKL4;PF3D7_0623800
PF3D7_0628200;PF3D7_0628200.1;eukaryotic translation initiation factor 2-alpha kinase;6;Pf3D7_06_v3:1,159,862..1,169,080(+);PK4;PF3D7_0628200
PF3D7_0704500;PF3D7_0704500.1;serine/threonine protein kinase, putative;7;Pf3D7_07_v3:208,690..213,501(-);null;PF3D7_0704500
PF3D7_0711000;PF3D7_0711000.1;AAA family ATPase, CDC48 subfamily;7;Pf3D7_07_v3:487,281..490,970(-);CDC48;PF3D7_0711000
PF3D7_0715800;PF3D7_0715800.1;drug/metabolite transporter DMT1, putative;7;Pf3D7_07_v3:695,600..696,904(-);DMT1;PF3D7_0715800
PF3D7_0716900;PF3D7_0716900.1;drug/metabolite transporter DMT2;7;Pf3D7_07_v3:736,370..737,338(+);DMT2;PF3D7_0716900
PF3D7_0717500;PF3D7_0717500.1;calcium-dependent protein kinase 4;7;Pf3D7_07_v3:755,763..757,696(+);CDPK4;PF3D7_0717500
PF3D7_0718100;PF3D7_0718100.1;exported serine/threonine protein kinase;7;Pf3D7_07_v3:796,514..804,739(-);EST;PF3D7_0718100
PF3D7_0719200;PF3D7_0719200.1;NIMA related kinase 4;7;Pf3D7_07_v3:841,108..842,830(+);NEK4;PF3D7_0719200
PF3D7_0802800;PF3D7_0802800.1;serine/threonine protein phosphatase 2B catalytic subunit A;8;Pf3D7_08_v3:191,976..194,103(+);CNA;PF3D7_0802800
PF3D7_0805700;PF3D7_0805700.1;serine/threonine protein kinase, FIKK family;8;Pf3D7_08_v3:314,172..318,726(-);FIKK8;PF3D7_0805700
PF3D7_0808200;PF3D7_0808200.1;plasmepsin X;8;Pf3D7_08_v3:416,344..418,065(-);PMX;PF3D7_0808200
PF3D7_0810300;PF3D7_0810300.1;protein phosphatase PPM5, putative;8;Pf3D7_08_v3:525,058..527,604(-);PPM5;PF3D7_0810300
PF3D7_0810500;PF3D7_0810500.1;protein phosphatase PPM7, putative;8;Pf3D7_08_v3:534,469..536,619(-);PPM7;PF3D7_0810500
PF3D7_0811300;PF3D7_0811300.1;CCR4-associated factor 1;8;Pf3D7_08_v3:567,824..573,148(+);CAF1;PF3D7_0811300
PF3D7_0821100;PF3D7_0821100.1;protein kinase 1;8;Pf3D7_08_v3:953,448..956,314(+);PK1;PF3D7_0821100
PF3D7_0827000;PF3D7_0827000.1;ATP-dependent RNA helicase DBP10, putative;8;Pf3D7_08_v3:1,167,579..1,171,448(-);DBP10;PF3D7_0827000
PF3D7_0902800;PF3D7_0902800.1;serine repeat antigen 9;9;Pf3D7_09_v3:121,621..125,006(-);SERA9;PF3D7_0902800
PF3D7_0905700;PF3D7_0905700.1;autophagy-related protein 3, putative;9;Pf3D7_09_v3:284,200..286,640(-);ATG3;PF3D7_0905700
PF3D7_0908000;PF3D7_0908000.1;plasma membrane protein 1, putative;9;Pf3D7_09_v3:369,870..371,554(-);PMP1;PF3D7_0908000
PF3D7_0918000;PF3D7_0918000.1;glideosome-associated protein 50;9;Pf3D7_09_v3:742,494..743,684(-);GAP50;PF3D7_0918000
PF3D7_0918600;PF3D7_0918600.1;ATP-dependent DNA helicase Q1;9;Pf3D7_09_v3:764,848..767,034(+);RECQ1;PF3D7_0918600
PF3D7_0922900;PF3D7_0922900.1;3-oxoacyl-[acyl-carrier-protein] reductase;9;Pf3D7_09_v3:936,868..938,345(-);FabG;PF3D7_0922900
PF3D7_0925400;PF3D7_0925400.1;protein phosphatase-beta;9;Pf3D7_09_v3:1,021,858..1,023,620(-);null;PF3D7_0925400
PF3D7_0928000;PF3D7_0928000.1;cytochrome c oxidase subunit 6B, putative;9;Pf3D7_09_v3:1,135,545..1,136,391(+);COX6B;PF3D7_0928000
PF3D7_0934800;PF3D7_0934800.1;cAMP-dependent protein kinase catalytic subunit;9;Pf3D7_09_v3:1,361,935..1,363,848(+);PKAc;PF3D7_0934800
PF3D7_1008000;PF3D7_1008000.1;histone deacetylase 2;10;Pf3D7_10_v3:321,011..328,150(+);HDA2;PF3D7_1008000
PF3D7_1008900;PF3D7_1008900.1;adenylate kinase;10;Pf3D7_10_v3:369,199..370,225(-);AK1;PF3D7_1008900
PF3D7_1009600;PF3D7_1009600.1;protein phosphatase PPM10, putative;10;Pf3D7_10_v3:386,976..388,442(+);PPM10;PF3D7_1009600
PF3D7_1011900;PF3D7_1011900.1;heme oxygenase;10;Pf3D7_10_v3:460,335..461,993(-);HO;PF3D7_1011900
PF3D7_1012700;PF3D7_1012700.1;NLI interacting factor-like phosphatase, putative;10;Pf3D7_10_v3:487,252..491,828(+);NIF4;PF3D7_1012700
PF3D7_1014400;PF3D7_1014400.1;MO15-related protein kinase;10;Pf3D7_10_v3:574,129..575,103(+);MRK;PF3D7_1014400
PF3D7_1018200;PF3D7_1018200.1;serine/threonine protein phosphatase 8, putative;10;Pf3D7_10_v3:721,734..728,331(-);PPP8;PF3D7_1018200
PF3D7_1027200;PF3D7_1027200.1;mitochondrial ribosomal protein S22 precursor, putative;10;Pf3D7_10_v3:1,138,002..1,139,564(+);null;PF3D7_1027200
PF3D7_1029600;PF3D7_1029600.1;adenosine deaminase;10;Pf3D7_10_v3:1,206,302..1,207,405(+);ADA;PF3D7_1029600
PF3D7_1031200;PF3D7_1031200.1;MORN repeat-containing protein 1;10;Pf3D7_10_v3:1,257,384..1,258,478(+);MORN1;PF3D7_1031200
PF3D7_1031400;PF3D7_1031400.1;OTU-like cysteine protease;10;Pf3D7_10_v3:1,265,079..1,268,785(+);OTU;PF3D7_1031400
PF3D7_1108400;PF3D7_1108400.1;casein kinase 2, alpha subunit;11;Pf3D7_11_v3:365,093..366,100(+);CK2alpha;PF3D7_1108400
PF3D7_1113100;PF3D7_1113100.1;protein tyrosine phosphatase;11;Pf3D7_11_v3:511,105..511,761(-);PRL;PF3D7_1113100
PF3D7_1113700;PF3D7_1113700.1;glyoxalase I;11;Pf3D7_11_v3:529,493..530,563(+);GLO1;PF3D7_1113700
PF3D7_1113900;PF3D7_1113900.1;mitogen-activated protein kinase 2;11;Pf3D7_11_v3:534,973..536,499(-);MAPK2;PF3D7_1113900
PF3D7_1114100;PF3D7_1114100.1;rhomboid protease ROM1;11;Pf3D7_11_v3:539,903..541,387(+);ROM1;PF3D7_1114100
PF3D7_1114700;PF3D7_1114700.1;serine/threonine protein kinase, putative;11;Pf3D7_11_v3:555,514..558,668(+);CLK3;PF3D7_1114700
PF3D7_1115700;PF3D7_1115700.1;cysteine proteinase falcipain 2a;11;Pf3D7_11_v3:592,130..593,584(-);FP2A;PF3D7_1115700
PF3D7_1116700;PF3D7_1116700.1;dipeptidyl aminopeptidase 1;11;Pf3D7_11_v3:630,779..632,881(-);DPAP1;PF3D7_1116700
PF3D7_1119600;PF3D7_1119600.1;ATP-dependent zinc metalloprotease FTSH, putative;11;Pf3D7_11_v3:738,513..741,671(-);null;PF3D7_1119600
PF3D7_1121300;PF3D7_1121300.1;tyrosine kinase-like protein;11;Pf3D7_11_v3:801,945..807,081(-);TKL2;PF3D7_1121300
PF3D7_1121900;PF3D7_1121900.1;serine/threonine protein kinase, putative;11;Pf3D7_11_v3:835,889..837,466(-);null;PF3D7_1121900
PF3D7_1122800;PF3D7_1122800.1;calcium-dependent protein kinase 6;11;Pf3D7_11_v3:872,031..877,678(+);CDPK6;PF3D7_1122800
PF3D7_1123100;PF3D7_1123100.1;calcium-dependent protein kinase 7;11;Pf3D7_11_v3:909,366..916,324(+);CDPK7;PF3D7_1123100
PF3D7_1127000;PF3D7_1127000.1;protein phosphatase, putative;11;Pf3D7_11_v3:1,056,198..1,058,054(-);null;PF3D7_1127000
PF3D7_1135100;PF3D7_1135100.1;protein phosphatase PPM8, putative;11;Pf3D7_11_v3:1,374,592..1,376,661(-);PPM8;PF3D7_1135100
PF3D7_1136500;PF3D7_1136500.1;casein kinase 1;11;Pf3D7_11_v3:1,431,881..1,435,170(-);CK1;PF3D7_1136500
PF3D7_1138500;PF3D7_1138500.1;protein phosphatase PPM2;11;Pf3D7_11_v3:1,518,464..1,521,238(+);PPM2;PF3D7_1138500
PF3D7_1139500;PF3D7_1139500.1;AAA family ATPase, putative, unspecified product;11;Pf3D7_11_v3:1,576,132..1,578,978(-);null;PF3D7_1139500
PF3D7_1145200;PF3D7_1145200.1;serine/threonine protein kinase, putative;11;Pf3D7_11_v3:1,789,323..1,795,370(-);null;PF3D7_1145200
PF3D7_1145400;PF3D7_1145400.1;dynamin-like protein;11;Pf3D7_11_v3:1,800,544..1,803,550(-);DYN1;PF3D7_1145400
PF3D7_1148000;PF3D7_1148000.1;serine/threonine protein kinase, putative;11;Pf3D7_11_v3:1,909,210..1,913,499(-);null;PF3D7_1148000
PF3D7_1203900;PF3D7_1203900.1;ubiquitin-conjugating enzyme E2;12;Pf3D7_12_v3:194,144..195,462(+);UBC;PF3D7_1203900
PF3D7_1205700;PF3D7_1205700.1;targeted glyoxalase II;12;Pf3D7_12_v3:253,155..254,123(+);tGLO2;PF3D7_1205700
PF3D7_1206000;PF3D7_1206000.1;shewanella-like protein phosphatase 2;12;Pf3D7_12_v3:270,300..271,214(-);SHLP2;PF3D7_1206000
PF3D7_1209900;PF3D7_1209900.1;ABC transporter B family member 7, putative;12;Pf3D7_12_v3:448,772..451,339(-);ABCB7;PF3D7_1209900
PF3D7_1211900;PF3D7_1211900.1;non-SERCA-type Ca2+ -transporting P-ATPase;12;Pf3D7_12_v3:529,005..532,799(-);ATP4;PF3D7_1211900
PF3D7_1212800;PF3D7_1212800.1;succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial;12;Pf3D7_12_v3:565,966..566,931(+);SDHB;PF3D7_1212800
PF3D7_1215000;PF3D7_1215000.1;thioredoxin peroxidase 2;12;Pf3D7_12_v3:621,125..621,775(+);Trx-Px2;PF3D7_1215000
PF3D7_1217100;PF3D7_1217100.1;meiotic recombination protein SPO11, putative;12;Pf3D7_12_v3:675,456..677,576(-);SPO11;PF3D7_1217100
PF3D7_1221000;PF3D7_1221000.1;histone-lysine N-methyltransferase, H3 lysine-4 specific;12;Pf3D7_12_v3:836,912..843,901(-);SET10;PF3D7_1221000
PF3D7_1222600;PF3D7_1222600.1;AP2 domain transcription factor AP2-G;12;Pf3D7_12_v3:907,203..914,501(+);AP2-G;PF3D7_1222600
PF3D7_1227800;PF3D7_1227800.1;elongator complex protein 3, putative;12;Pf3D7_12_v3:1,134,370..1,137,648(-);ELP3;PF3D7_1227800
PF3D7_1227900;PF3D7_1227900.1;RNA pseudouridylate synthase, putative;12;Pf3D7_12_v3:1,138,608..1,140,302(+);null;PF3D7_1227900
PF3D7_1228300;PF3D7_1228300.1;NIMA related kinase 1;12;Pf3D7_12_v3:1,148,111..1,151,461(+);NEK1;PF3D7_1228300
PF3D7_1235200;PF3D7_1235200.1;V-type K+-independent H+-translocating inorganic pyrophosphatase;12;Pf3D7_12_v3:1,464,219..1,467,572(-);VP2;PF3D7_1235200
PF3D7_1235500;PF3D7_1235500.1;mRNA methyltransferase, putative;12;Pf3D7_12_v3:1,481,002..1,482,942(+);null;PF3D7_1235500
PF3D7_1237000;PF3D7_1237000.1;SUMO-activating enzyme subunit 2;12;Pf3D7_12_v3:1,538,138..1,540,408(+);UBA2;PF3D7_1237000
PF3D7_1238900;PF3D7_1238900.1;protein kinase 2;12;Pf3D7_12_v3:1,615,323..1,616,852(-);PK2;PF3D7_1238900
PF3D7_1239500;PF3D7_1239500.1;DNA gyrase subunit B;12;Pf3D7_12_v3:1,648,667..1,651,687(+);GyrB;PF3D7_1239500
PF3D7_1246900;PF3D7_1246900.1;RAC-beta serine/threonine protein kinase;12;Pf3D7_12_v3:1,943,358..1,945,803(-);PKB;PF3D7_1246900
PF3D7_1247500;PF3D7_1247500.1;serine/threonine protein kinase, putative;12;Pf3D7_12_v3:1,959,612..1,962,341(+);null;PF3D7_1247500
PF3D7_1247800;PF3D7_1247800.1;dipeptidyl aminopeptidase 2;12;Pf3D7_12_v3:1,968,163..1,971,074(+);DPAP2;PF3D7_1247800
PF3D7_1249300;PF3D7_1249300.1;protein phosphatase PPM4, putative;12;Pf3D7_12_v3:2,012,643..2,015,726(+);PPM4;PF3D7_1249300
PF3D7_1307600;PF3D7_1307600.1;DNA-directed RNA polymerase subunit alpha, putative;13;Pf3D7_13_v3:339,927..341,888(-);rpoA;PF3D7_1307600
PF3D7_1309200;PF3D7_1309200.1;protein phosphatase PPM6, putative;13;Pf3D7_13_v3:424,232..427,036(+);PPM6;PF3D7_1309200
PF3D7_1315100;PF3D7_1315100.1;serine/threonine protein kinase PK9;13;Pf3D7_13_v3:638,286..639,389(+);PK9;PF3D7_1315100
PF3D7_1316000;PF3D7_1316000.1;protein kinase, putative;13;Pf3D7_13_v3:668,360..670,745(-);null;PF3D7_1316000
PF3D7_1317200;PF3D7_1317200.1;AP2 domain transcription factor AP2-G3, putative;13;Pf3D7_13_v3:721,961..729,979(+);ApiAP2;PF3D7_1317200
PF3D7_1320800;PF3D7_1320800.1;dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex;13;Pf3D7_13_v3:854,932..856,463(+);null;PF3D7_1320800
PF3D7_1321500;PF3D7_1321500.1;3',5'-cyclic nucleotide phosphodiesterase beta, unspecified product;13;Pf3D7_13_v3:890,106..894,782(-);PDEbeta;PF3D7_1321500
PF3D7_1323500;PF3D7_1323500.1;plasmepsin V;13;Pf3D7_13_v3:975,403..977,175(+);PMV;PF3D7_1323500
PF3D7_1331300;PF3D7_1331300.1;signal peptidase complex catalytic subunit SEC11;13;Pf3D7_13_v3:1,309,177..1,310,006(+);SEC11;PF3D7_1331300
PF3D7_1333200;PF3D7_1333200.1;ubiquitin-activating enzyme;13;Pf3D7_13_v3:1,362,093..1,367,609(+);UBA1;PF3D7_1333200
PF3D7_1337100;PF3D7_1337100.1;protein kinase 6;13;Pf3D7_13_v3:1,495,259..1,497,240(+);PK6;PF3D7_1337100
PF3D7_1337800;PF3D7_1337800.1;calcium-dependent protein kinase 5;13;Pf3D7_13_v3:1,528,502..1,530,208(-);CDPK5;PF3D7_1337800
PF3D7_1338900;PF3D7_1338900.1;serine/threonine protein kinase, putative;13;Pf3D7_13_v3:1,568,374..1,571,169(-);null;PF3D7_1338900
PF3D7_1339900;PF3D7_1339900.1;ABC transporter B family member 5, putative;13;Pf3D7_13_v3:1,598,401..1,601,178(+);ABCB5;PF3D7_1339900
PF3D7_1345500;PF3D7_1345500.1;ubiquitin-conjugating enzyme E2;13;Pf3D7_13_v3:1,823,190..1,824,026(+);UBC;PF3D7_1345500
PF3D7_1347700;PF3D7_1347700.1;ethanolamine-phosphate cytidylyltransferase;13;Pf3D7_13_v3:1,908,960..1,910,885(+);ECT;PF3D7_1347700
PF3D7_1349300;PF3D7_1349300.1;tyrosine kinase-like protein;13;Pf3D7_13_v3:1,977,269..1,982,692(+);TKL3;PF3D7_1349300
PF3D7_1351600;PF3D7_1351600.1;glycerol kinase;13;Pf3D7_13_v3:2,055,216..2,056,721(+);GK;PF3D7_1351600
PF3D7_1355500;PF3D7_1355500.1;serine/threonine protein phosphatase 5;13;Pf3D7_13_v3:2,199,594..2,201,570(+);PP5;PF3D7_1355500
PF3D7_1355700;PF3D7_1355700.1;NLI interacting factor-like phosphatase, putative;13;Pf3D7_13_v3:2,206,592..2,210,458(-);NIF3;PF3D7_1355700
PF3D7_1356800;PF3D7_1356800.1;serine/threonine protein kinase, putative;13;Pf3D7_13_v3:2,249,587..2,261,721(+);ARK3;PF3D7_1356800
PF3D7_1356900;PF3D7_1356900.1;protein kinase 5;13;Pf3D7_13_v3:2,263,199..2,264,755(-);PK5;PF3D7_1356900
PF3D7_1360800;PF3D7_1360800.1;falcilysin;13;Pf3D7_13_v3:2,435,343..2,438,924(+);FLN;PF3D7_1360800
PF3D7_1362400;PF3D7_1362400.1;calpain;13;Pf3D7_13_v3:2,495,924..2,502,070(+);Pcalp;PF3D7_1362400
PF3D7_1362500;PF3D7_1362500.1;exonuclease, putative;13;Pf3D7_13_v3:2,503,185..2,505,458(+);EXO;PF3D7_1362500
PF3D7_1363700;PF3D7_1363700.1;protein AMR1;13;Pf3D7_13_v3:2,552,554..2,554,926(+);AMR1;PF3D7_1363700
PF3D7_1365400;PF3D7_1365400.1;ubiquitin-activating enzyme;13;Pf3D7_13_v3:2,616,148..2,617,902(-);Uba2;PF3D7_1365400
PF3D7_1406600;PF3D7_1406600.1;ATP-dependent Clp protease regulatory subunit ClpC;14;Pf3D7_14_v3:239,747..243,772(+);ClpC;PF3D7_1406600
PF3D7_1407800;PF3D7_1407800.1;plasmepsin IV;14;Pf3D7_14_v3:283,086..284,435(+);PM4;PF3D7_1407800
PF3D7_1409900;PF3D7_1409900.1;cytidine diphosphate-diacylglycerol synthase;14;Pf3D7_14_v3:389,592..391,595(+);CDS;PF3D7_1409900
PF3D7_1411400;PF3D7_1411400.1;plastid replication-repair enzyme;14;Pf3D7_14_v3:461,401..467,451(-);PREX;PF3D7_1411400
PF3D7_1412900;PF3D7_1412900.1;ubiquitin-conjugating enzyme E2, putative;14;Pf3D7_14_v3:521,209..522,898(+);null;PF3D7_1412900
PF3D7_1414400;PF3D7_1414400.1;serine/threonine protein phosphatase PP1;14;Pf3D7_14_v3:575,496..577,055(+);PP1;PF3D7_1414400
PF3D7_1419300;PF3D7_1419300.1;glutathione S-transferase;14;Pf3D7_14_v3:802,717..803,481(+);GST;PF3D7_1419300
PF3D7_1423000;PF3D7_1423000.1;nucleolar GTP-binding protein 2, putative;14;Pf3D7_14_v3:924,964..926,427(-);NOG2;PF3D7_1423000
PF3D7_1423300;PF3D7_1423300.1;serine/threonine protein phosphatase 7;14;Pf3D7_14_v3:936,168..941,638(+);PP7;PF3D7_1423300
PF3D7_1429900;PF3D7_1429900.1;ADP-dependent DNA helicase RecQ;14;Pf3D7_14_v3:1,176,770..1,181,092(+);WRN;PF3D7_1429900
PF3D7_1431500;PF3D7_1431500.1;mitogen-activated protein kinase 1;14;Pf3D7_14_v3:1,238,851..1,241,595(-);MAPK1;PF3D7_1431500
PF3D7_1434500;PF3D7_1434500.1;dynein-related AAA-type ATPase, putative;14;Pf3D7_14_v3:1,378,348..1,402,665(-);null;PF3D7_1434500
PF3D7_1440200;PF3D7_1440200.1;stromal-processing peptidase, putative;14;Pf3D7_14_v3:1,639,477..1,647,167(+);SPP;PF3D7_1440200
PF3D7_1440300;PF3D7_1440300.1;porphobilinogen synthase;14;Pf3D7_14_v3:1,639,477..1,641,760(+);PBGS;PF3D7_1440300
PF3D7_1443000;PF3D7_1443000.1;serine/threonine protein kinase;14;Pf3D7_14_v3:1,764,316..1,768,122(-);SRPK2;PF3D7_1443000
PF3D7_1445400;PF3D7_1445400.1;protein serine/threonine kinase-1;14;Pf3D7_14_v3:1,862,775..1,865,420(-);CLK1;PF3D7_1445400
PF3D7_1446900;PF3D7_1446900.1;glutaminyl-peptide cyclotransferase, putative;14;Pf3D7_14_v3:1,924,425..1,926,650(-);null;PF3D7_1446900
PF3D7_1447900;PF3D7_1447900.1;multidrug resistance protein 2;14;Pf3D7_14_v3:1,954,601..1,957,675(-);MDR2;PF3D7_1447900
PF3D7_1450000;PF3D7_1450000.1;serine/threonine protein kinase, putative;14;Pf3D7_14_v3:2,047,793..2,050,083(+);null;PF3D7_1450000
PF3D7_1454300;PF3D7_1454300.1;SNF1-related serine/threonine protein kinase KIN;14;Pf3D7_14_v3:2,229,284..2,231,581(+);KIN;PF3D7_1454300
PF3D7_1455000;PF3D7_1455000.1;protein phosphatase PPM3, putative;14;Pf3D7_14_v3:2,247,245..2,249,750(-);PPM3;PF3D7_1455000
PF3D7_1455100;PF3D7_1455100.1;protein tyrosine phosphatase, putative;14;Pf3D7_14_v3:2,251,188..2,251,934(-);PTP1;PF3D7_1455100
PF3D7_1456100;PF3D7_1456100.1;serine hydroxymethyltransferase;14;Pf3D7_14_v3:2,301,456..2,302,844(-);SHMT;PF3D7_1456100
PF3D7_1458000;PF3D7_1458000.1;cysteine proteinase falcipain 1;14;Pf3D7_14_v3:2,387,786..2,389,495(+);FP1;PF3D7_1458000
PF3D7_1465700;PF3D7_1465700.1;plasmepsin VIII, putative;14;Pf3D7_14_v3:2,658,255..2,660,911(-);PM8;PF3D7_1465700
PF3D7_1466100;PF3D7_1466100.1;protein phosphatase containing kelch-like domains;14;Pf3D7_14_v3:2,690,504..2,693,326(+);PPKL;PF3D7_1466100
PF3D7_1469200;PF3D7_1469200.1;shewanella-like protein phosphatase 1, putative;14;Pf3D7_14_v3:2,838,913..2,839,989(-);SHLP1;PF3D7_1469200
PF3D7_0102900;PF3D7_0102900.1;aspartate--tRNA ligase;1;Pf3D7_01_v3:128,960..130,840(-);null;PF3D7_0102900
PF3D7_0104200;PF3D7_0104200.1;StAR-related lipid transfer protein;1;Pf3D7_01_v3:182,822..184,222(-);null;PF3D7_0104200
