Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples)
PF3D7_0102500;PF3D7_0102500.1;erythrocyte binding antigen-181;21.8;76.5
PF3D7_0102600;PF3D7_0102600.1;serine/threonine protein kinase, FIKK family;15.9;85.9
PF3D7_0102700;PF3D7_0102700.1;merozoite-associated tryptophan-rich antigen;12.8;90.6
PF3D7_0102800;PF3D7_0102800.1;seipin domain-containing protein, putative;7.5;43.6
PF3D7_0102900;PF3D7_0102900.1;aspartate--tRNA ligase;58.6;88
PF3D7_0103000;PF3D7_0103000.1;vacuolar protein sorting-associated protein VTA1, putative;9.4;47.8
PF3D7_0103100;PF3D7_0103100.1;vacuolar protein sorting-associated protein 51, putative;14.4;31.3
PF3D7_0103200;PF3D7_0103200.1;nucleoside transporter 4;83.6;98.4
PF3D7_0103300;PF3D7_0103300.1;conserved protein, unknown function;37.7;67.9
PF3D7_0103400;PF3D7_0103400.1;zinc-carboxypeptidase, putative;53.6;72.7
PF3D7_0103500;PF3D7_0103500.1;conserved Plasmodium protein, unknown function;17.9;30.6
PF3D7_0103600;PF3D7_0103600.1;ATP-dependent RNA helicase, putative;17.9;43.1
PF3D7_0103700;PF3D7_0103700.1;L-seryl-tRNA(Sec) kinase, putative;19.7;50.8
PF3D7_0103800;PF3D7_0103800.1;actin-related protein;32.1;93.4
PF3D7_0103900;PF3D7_0103900.1;parasite-infected erythrocyte surface protein;47.4;67.8
PF3D7_0104000;PF3D7_0104000.1;thrombospondin-related sporozoite protein;0;33.5
PF3D7_0104100;PF3D7_0104100.1;conserved Plasmodium membrane protein, unknown function;14.9;70
PF3D7_0104200;PF3D7_0104200.1;StAR-related lipid transfer protein;63.7;96.5
PF3D7_0104300;PF3D7_0104300.1;ubiquitin carboxyl-terminal hydrolase 1, putative;35.1;84.8
PF3D7_0104400;PF3D7_0104400.1;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;57.9;73.4
PF3D7_0104500;PF3D7_0104500.1;conserved protein, unknown function;55.8;87.6
PF3D7_0104600;PF3D7_0104600.1;conserved Plasmodium protein, unknown function;15;55.1
PF3D7_0104700;PF3D7_0104700.1;major facilitator superfamily-related transporter, putative;4.4;13.2
PF3D7_0104800;PF3D7_0104800.1;novel putative transporter 1, putative;56.9;86.7
PF3D7_0104900;PF3D7_0104900.1;RNase MRP;46.5;71.8
PF3D7_0105000;PF3D7_0105000.1;unspecified product;67.8;90.5
PF3D7_0105100;PF3D7_0105100.1;conserved Apicomplexan protein, unknown function;8.3;63.9
PF3D7_0105200;PF3D7_0105200.1;heptatricopeptide repeat and RAP domain-containing protein, putative;47.6;85.9
PF3D7_0105300;PF3D7_0105300.1;cyclase-associated protein;26.2;90.9
PF3D7_0105400;PF3D7_0105400.1;conserved Plasmodium protein, unknown function;33.9;96.8
PF3D7_0105400;PF3D7_0105400.2;conserved Plasmodium protein, unknown function;33.9;96.8
PF3D7_0105500;PF3D7_0105500.1;conserved protein, unknown function;20.1;55.5
PF3D7_0105600;PF3D7_0105600.1;conserved Plasmodium protein, unknown function;33;55.3
PF3D7_0105700;PF3D7_0105700.1;asparagine-rich antigen Pfa35-2;22.9;48
PF3D7_0105800;PF3D7_0105800.1;cyclin-dependent kinases regulatory subunit, putative;52.6;81.4
PF3D7_0105900;PF3D7_0105900.1;3'-5' exonuclease, putative;50.6;72.8
PF3D7_0106000;PF3D7_0106000.1;conserved protein, unknown function;41.9;85.4
PF3D7_0106100;PF3D7_0106100.1;V-type proton ATPase subunit C, putative;81.7;90.9
PF3D7_0106200;PF3D7_0106200.1;EF hand domain-containing protein, putative;11.4;75.8
PF3D7_0106300;PF3D7_0106300.1;calcium-transporting ATPase;85.9;90.6
PF3D7_0106400;PF3D7_0106400.1;pre-rRNA-processing protein TSR2, putative;45.6;88.4
PF3D7_0106500;PF3D7_0106500.1;conserved Plasmodium protein, unknown function;11.9;36.2
PF3D7_0106600;PF3D7_0106600.1;conserved Plasmodium protein, unknown function;9.9;28
PF3D7_0106700;PF3D7_0106700.1;small ribosomal subunit assembling AARP2 protein;34.3;70.9
PF3D7_0106800;PF3D7_0106800.1;ras-related protein Rab-5C;57.5;90
PF3D7_0106900;PF3D7_0106900.1;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative;40.8;65.2
PF3D7_0107000;PF3D7_0107000.1;centrin-1;45.3;81.4
PF3D7_0107100;PF3D7_0107100.1;conserved protein, unknown function;32.1;52.2
PF3D7_0107200;PF3D7_0107200.1;CCR4 domain-containing protein 3, putative;30.7;43.6
PF3D7_0107300;PF3D7_0107300.1;conserved Plasmodium protein, unknown function;13.2;39.4
PF3D7_0107400;PF3D7_0107400.1;ATP synthase-associated protein, putative;27.2;72.8
PF3D7_0107500;PF3D7_0107500.1;Niemann-Pick type C1-related protein;83.5;94.5
PF3D7_0107600;PF3D7_0107600.1;eukaryotic translation initiation factor 2-alpha kinase 2, putative;0;11.2
PF3D7_0107700;PF3D7_0107700.1;dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative;21.1;56.5
PF3D7_0107800;PF3D7_0107800.1;double-strand break repair protein MRE11;24.6;40.9
PF3D7_0107900;PF3D7_0107900.1;conserved Plasmodium protein, unknown function;41.2;84.7
PF3D7_0108000;PF3D7_0108000.1;proteasome subunit beta type-3, putative;91.7;97.7
PF3D7_0108100;PF3D7_0108100.1;conserved protein, unknown function;40.8;52.1
PF3D7_0108300;PF3D7_0108300.1;conserved Plasmodium protein, unknown function;55.7;92
PF3D7_0108400;PF3D7_0108400.1;mitochondrial carrier protein, putative;43.2;62.5
PF3D7_0108400;PF3D7_0108400.2;mitochondrial carrier protein, putative;43.2;62.5
PF3D7_0108500;PF3D7_0108500.1;conserved Plasmodium protein, unknown function;89.7;100
PF3D7_0108600;PF3D7_0108600.1;conserved protein, unknown function;42.7;87.4
PF3D7_0108700;PF3D7_0108700.1;secreted ookinete protein, putative;48.1;80.3
PF3D7_0108800;PF3D7_0108800.1;mitochondrial carrier protein, putative;58.9;76.3
PF3D7_0108900;PF3D7_0108900.1;unspecified product;12;87.8
PF3D7_0109000;PF3D7_0109000.1;photosensitized INA-labeled protein PHIL1;70.6;98.9
PF3D7_0109100;PF3D7_0109100.1;LCCL domain-containing protein;14.6;47.5
PF3D7_0109200;PF3D7_0109200.1;cleavage and polyadenylation specificity factor subunit 5, putative;70.7;84.5
PF3D7_0109300;PF3D7_0109300.1;fatty acid elongation protein, GNS1/SUR4 family, putative;16.8;74.6
PF3D7_0109400;PF3D7_0109400.1;tubulin-specific chaperone a, putative;34.9;90.3
PF3D7_0109500;PF3D7_0109500.1;N-acetyltransferase, GNAT family, putative;60.9;94.6
PF3D7_0109600;PF3D7_0109600.1;cold-shock protein, putative;13.4;41.1
PF3D7_0109700;PF3D7_0109700.1;rRNA biogenesis protein RRP36, putative;30.4;87.9
PF3D7_0109800;PF3D7_0109800.1;phenylalanine--tRNA ligase alpha subunit;60.8;88.8
PF3D7_0109850;PF3D7_0109850.1;phosphatidate cytidylyltransferase, putative;17;84.3
PF3D7_0109950;PF3D7_0109950.1;conserved protein, unknown function;66.9;80.5
PF3D7_0110000;PF3D7_0110000.1;conserved Plasmodium protein, unknown function;62.1;88.2
PF3D7_0110100;PF3D7_0110100.1;selenocysteine-specific elongation factor, putative;41.8;66.4
PF3D7_0110200;PF3D7_0110200.1;FAD-linked sulfhydryl oxidase ERV1, putative;34.2;79.6
PF3D7_0110300;PF3D7_0110300.1;Plasmodium RNA of unknown function RUF5;18.5;62.8
PF3D7_0110400;PF3D7_0110400.1;DNA-directed RNA polymerase II subunit RPB9, putative;67.5;88.2
PF3D7_0110500;PF3D7_0110500.1;bromodomain protein, putative;21.2;62.5
PF3D7_0110600;PF3D7_0110600.1;phosphatidylinositol-4-phosphate 5-kinase;52.4;87.6
PF3D7_0110700;PF3D7_0110700.1;chromatin assembly factor 1 protein WD40 domain, putative;53.9;95
PF3D7_0110800;PF3D7_0110800.1;transcription initiation factor TFIIB, putative;73.9;91.5
PF3D7_0110900;PF3D7_0110900.1;adenylate kinase-like protein 1;6.6;77.4
PF3D7_0111000;PF3D7_0111000.1;kinesin-8, putative;22.3;47
PF3D7_0111200;PF3D7_0111200.1;conserved protein, unknown function;0;48.8
PF3D7_0111300;PF3D7_0111300.1;P-loop containing nucleoside triphosphate hydrolase, putative;45.7;63.6
PF3D7_0111400;PF3D7_0111400.1;conserved Plasmodium protein, unknown function;13.3;55.2
PF3D7_0111500;PF3D7_0111500.1;UMP-CMP kinase, putative;34.8;93.2
PF3D7_0111600;PF3D7_0111600.1;conserved Plasmodium protein, unknown function;41.7;67.3
PF3D7_0111700;PF3D7_0111700.1;conserved protein, unknown function;10.1;77.1
PF3D7_0111800;PF3D7_0111800.1;eukaryotic translation initiation factor 4E, putative;50.1;79
PF3D7_0111900;PF3D7_0111900.1;conserved protein, unknown function;24.9;77.3
PF3D7_0112000;PF3D7_0112000.1;TatD-like deoxyribonuclease;35.4;70.1
PF3D7_0112100;PF3D7_0112100.1;conserved Plasmodium protein, unknown function;0;19.4
PF3D7_0112200;PF3D7_0112200.1;multidrug resistance-associated protein 1;33;84.3
PF3D7_0112800;PF3D7_0112800.1;Plasmodium exported protein (hyp11), unknown function;0;79.3
PF3D7_0112900;PF3D7_0112900.1;Plasmodium exported protein, unknown function;0;77.5
PF3D7_0113000;PF3D7_0113000.1;glutamic acid-rich protein GARP;56.1;95.1
PF3D7_0113100;PF3D7_0113100.1;surface-associated interspersed protein 1.1 (SURFIN 1.1);6.3;15.5
PF3D7_0113200;PF3D7_0113200.1;Plasmodium exported protein, unknown function;66.3;88.6
PF3D7_0113300;PF3D7_0113300.1;Plasmodium exported protein (hyp1), unknown function;24.6;91.9
PF3D7_0113400;PF3D7_0113400.1;Plasmodium exported protein, unknown function;9.5;50.7
PF3D7_0113600;PF3D7_0113600.1;surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene;15.1;41.6
PF3D7_0113700;PF3D7_0113700.1;heat shock protein 40, type II;18.4;89
PF3D7_0113800;PF3D7_0113800.1;DBL containing protein, unknown function;10.3;44.5
PF3D7_0113900;PF3D7_0113900.1;CX3CL1-binding protein 1;81.6;99.6
PF3D7_0114000;PF3D7_0114000.1;exported protein family 1;9.7;17.2
PF3D7_0114100;PF3D7_0114100.1;Pfmc-2TM Maurer's cleft two transmembrane protein;13.3;89.4
PF3D7_0114200;PF3D7_0114200.1;exported protein family 3;0;19
PF3D7_0114300;PF3D7_0114300.1;exported protein family 4, pseudogene;4.2;16.9
PF3D7_0114400;PF3D7_0114400.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;11
PF3D7_0114500;PF3D7_0114500.1;Plasmodium exported protein (hyp10), unknown function;0;76.2
PF3D7_0114600;PF3D7_0114600.1;stevor, pseudogene;0;11.5
PF3D7_0114700;PF3D7_0114700.1;rifin;4.2;80.5
PF3D7_0114800;PF3D7_0114800.1;Plasmodium exported protein (hyp7), unknown function;0;17.1
PF3D7_0114900;PF3D7_0114900.1;Plasmodium exported protein, unknown function, pseudogene;0;5.5
PF3D7_0115000;PF3D7_0115000.1;surface-associated interspersed protein 1.3 (SURFIN 1.3);4.8;10.6
PF3D7_0115050;PF3D7_0115050.1;H/ACA snoRNA;0;24
PF3D7_0115100;PF3D7_0115100.1;Plasmodium exported protein (PHISTa), unknown function;0;10
PF3D7_0115150;PF3D7_0115150.1;Plasmodium exported protein, unknown function, pseudogene;0;27.7
PF3D7_0115200;PF3D7_0115200.1;rifin;7.9;21.5
PF3D7_0115300;PF3D7_0115300.1;rifin;0;24.5
PF3D7_0115400;PF3D7_0115400.1;stevor;7;56.5
PF3D7_0115500;PF3D7_0115500.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;0;24.1
PF3D7_0115600;PF3D7_0115600.1;rifin;11;62.3
PF3D7_0115700;PF3D7_0115700.1;erythrocyte membrane protein 1, PfEMP1;17.4;50
PF3D7_0200100;PF3D7_0200100.1;erythrocyte membrane protein 1, PfEMP1;14.5;47.4
PF3D7_0200200;PF3D7_0200200.1;rifin;0;19.7
PF3D7_0200300;PF3D7_0200300.1;erythrocyte membrane protein 1 (PfEMP1), exon 2;0;7.2
PF3D7_0200400;PF3D7_0200400.1;stevor;0;15.5
PF3D7_0200500;PF3D7_0200500.1;rifin;0;19
PF3D7_0200600;PF3D7_0200600.1;rifin;0;14
PF3D7_0200700;PF3D7_0200700.1;rifin;0;33.2
PF3D7_0200800;PF3D7_0200800.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;6.2
PF3D7_0200900;PF3D7_0200900.1;stevor, pseudogene;0;6.2
PF3D7_0201000;PF3D7_0201000.1;rifin;0;6.2
PF3D7_0201100;PF3D7_0201100.1;Plasmodium exported protein, unknown function, fragment;0;28.9
PF3D7_0201200;PF3D7_0201200.1;rifin;0;13.3
PF3D7_0201300;PF3D7_0201300.1;stevor;0;9.9
PF3D7_0201400;PF3D7_0201400.1;Plasmodium exported protein (hyp10), unknown function;0;20.3
PF3D7_0201500;PF3D7_0201500.1;Plasmodium exported protein (hyp9), unknown function;64.9;92.5
PF3D7_0201600;PF3D7_0201600.1;PHISTb domain-containing RESA-like protein 1;32;83.4
PF3D7_0201700;PF3D7_0201700.1;DnaJ protein, putative;15.4;93.5
PF3D7_0201800;PF3D7_0201800.1;knob associated heat shock protein 40;47.6;93.8
PF3D7_0201900;PF3D7_0201900.1;erythrocyte membrane protein 3;18.1;91.9
PF3D7_0202000;PF3D7_0202000.1;knob-associated histidine-rich protein;97.8;100
PF3D7_0202100;PF3D7_0202100.1;liver stage associated protein 2;75.7;98.3
PF3D7_0202200;PF3D7_0202200.1;EMP1-trafficking protein;44.7;98
PF3D7_0202300;PF3D7_0202300.1;Plasmodium exported protein (hyp11), unknown function;19.5;71.6
PF3D7_0202400;PF3D7_0202400.1;translation-enhancing factor;17.5;64.6
PF3D7_0202500;PF3D7_0202500.1;early transcribed membrane protein 2;95.2;99.8
PF3D7_0202600;PF3D7_0202600.1;nucleic acid binding protein, putative;23.4;53.6
PF3D7_0202600;PF3D7_0202600.2;nucleic acid binding protein, putative;23.4;53.6
PF3D7_0202700;PF3D7_0202700.1;octaprenyl pyrophosphate synthase;25.2;64.4
PF3D7_0202800;PF3D7_0202800.1;conserved Plasmodium protein, unknown function;0;63
PF3D7_0202900;PF3D7_0202900.1;palmitoyltransferase DHHC12, putative;18;82.6
PF3D7_0203000;PF3D7_0203000.1;repetitive organellar protein, putative;9;33.3
PF3D7_0203100;PF3D7_0203100.1;protein kinase, putative;11.4;37.1
PF3D7_0203200;PF3D7_0203200.1;conserved Plasmodium protein, unknown function;36.1;82.2
PF3D7_0203300;PF3D7_0203300.1;ERCC1 nucleotide excision repair protein, putative;18.1;50.2
PF3D7_0203400;PF3D7_0203400.1;conserved Plasmodium protein, unknown function;41.5;94.2
PF3D7_0203500;PF3D7_0203500.1;tRNA Glutamine;0;42.5
PF3D7_0203600;PF3D7_0203600.1;conserved Plasmodium protein, unknown function;23;55.6
PF3D7_0203700;PF3D7_0203700.1;protein MAK16, putative;9.3;79.3
PF3D7_0203800;PF3D7_0203800.1;conserved Plasmodium protein, unknown function;23;38.8
PF3D7_0203900;PF3D7_0203900.1;5'-3' exonuclease, N-terminal resolvase-like domain, putative;34;73
PF3D7_0204000;PF3D7_0204000.1;condensin-2 complex subunit H2, putative;8.5;32.4
PF3D7_0204100;PF3D7_0204100.1;Sel1 repeat-containing protein, putative;26.5;78.1
PF3D7_0204200;PF3D7_0204200.1;conserved Plasmodium protein, unknown function;83.4;95.7
PF3D7_0204300;PF3D7_0204300.1;conserved Plasmodium protein, unknown function;20.1;74.9
PF3D7_0204400;PF3D7_0204400.1;dynein light chain, putative;35.8;77.3
PF3D7_0204500;PF3D7_0204500.1;aspartate transaminase;50.8;81.5
PF3D7_0204600;PF3D7_0204600.1;5'-3' exonuclease, putative;25.7;56.8
PF3D7_0204700;PF3D7_0204700.1;hexose transporter;86.9;96.7
PF3D7_0204800;PF3D7_0204800.1;3'-5' exonuclease, putative;38.2;65.8
PF3D7_0204900;PF3D7_0204900.1;2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative;41.7;69.3
PF3D7_0205000;PF3D7_0205000.1;conserved Plasmodium protein, unknown function;9.8;20.8
PF3D7_0205100;PF3D7_0205100.1;conserved Plasmodium protein, unknown function;0;23.9
PF3D7_0205200;PF3D7_0205200.1;MORN repeat protein, putative;0;33.5
PF3D7_0205300;PF3D7_0205300.1;conserved Plasmodium protein, unknown function;7.4;19.2
PF3D7_0205400;PF3D7_0205400.1;PCI domain-containing protein, putative;65;81.2
PF3D7_0205500;PF3D7_0205500.1;DNA-directed RNA polymerase II 16 kDa subunit, putative;83.5;91.4
PF3D7_0205600;PF3D7_0205600.1;conserved Plasmodium protein, unknown function;39.9;70.3
PF3D7_0205700;PF3D7_0205700.1;RNA-binding protein, putative;57;94.1
PF3D7_0205700;PF3D7_0205700.2;RNA-binding protein, putative;57;94.1
PF3D7_0205800;PF3D7_0205800.1;PH domain-containing protein, putative;24.4;89
PF3D7_0205900;PF3D7_0205900.1;26S proteasome regulatory subunit RPN1, putative;78.6;92.1
PF3D7_0206000;PF3D7_0206000.1;DNA repair protein RAD2, putative;16;57.5
PF3D7_0206100;PF3D7_0206100.1;cysteine desulfuration protein SufE;41.6;79.7
PF3D7_0206200;PF3D7_0206200.1;pantothenate transporter;22.4;91
PF3D7_0206300;PF3D7_0206300.1;pentafunctional AROM polypeptide, putative, pseudogene;26.9;79
PF3D7_0206500;PF3D7_0206500.1;conserved Plasmodium protein, unknown function;35.5;86.6
PF3D7_0206600;PF3D7_0206600.1;DNA-directed RNA polymerase III subunit RPC10, putative;19.8;69
PF3D7_0206700;PF3D7_0206700.1;adenylosuccinate lyase;82.4;92.4
PF3D7_0206800;PF3D7_0206800.1;merozoite surface protein 2;96.6;99.9
PF3D7_0206900;PF3D7_0206900.1;merozoite surface protein 5;49.1;97.7
PF3D7_0206900;PF3D7_0206900.2;merozoite surface protein 5;49.1;97.7
PF3D7_0207000;PF3D7_0207000.1;merozoite surface protein 4;67.5;98.9
PF3D7_0207100;PF3D7_0207100.1;conserved Plasmodium protein, unknown function;39.2;71.2
PF3D7_0207200;PF3D7_0207200.1;iron-sulfur assembly protein, putative;13.2;54.2
PF3D7_0207300;PF3D7_0207300.1;serine repeat antigen 8;0;10.6
PF3D7_0207400;PF3D7_0207400.1;serine repeat antigen 7;35.1;88.4
PF3D7_0207500;PF3D7_0207500.1;serine repeat antigen 6;38;90.1
PF3D7_0207600;PF3D7_0207600.1;serine repeat antigen 5;75.3;99.4
PF3D7_0207700;PF3D7_0207700.1;serine repeat antigen 4;44.3;96.4
PF3D7_0207800;PF3D7_0207800.1;serine repeat antigen 3;37.4;91.1
PF3D7_0207900;PF3D7_0207900.1;serine repeat antigen 2;12;57.4
PF3D7_0208000;PF3D7_0208000.1;serine repeat antigen 1;9;46
PF3D7_0208100;PF3D7_0208100.1;conserved Plasmodium protein, unknown function;22.5;69.8
PF3D7_0208200;PF3D7_0208200.1;KRR1 small subunit processome component, putative;42.6;87.9
PF3D7_0208300;PF3D7_0208300.1;conserved Plasmodium protein, unknown function;20.8;69.6
PF3D7_0208400;PF3D7_0208400.1;conserved Plasmodium protein, unknown function;31.2;58.4
PF3D7_0208500;PF3D7_0208500.1;acyl carrier protein;22.5;75.4
PF3D7_0208600;PF3D7_0208600.1;ribosome-recycling factor;37.9;65.1
PF3D7_0208700;PF3D7_0208700.1;conserved Plasmodium protein, unknown function, unspecified product;44.1;85
PF3D7_0208700;PF3D7_0208700.2;conserved Plasmodium protein, unknown function, unspecified product;44.1;85
PF3D7_0208800;PF3D7_0208800.1;conserved Plasmodium protein, unknown function;75.7;94.3
PF3D7_0208900;PF3D7_0208900.1;6-cysteine protein P230p;7.7;18.5
PF3D7_0209000;PF3D7_0209000.1;6-cysteine protein P230;20.6;41.2
PF3D7_0209100;PF3D7_0209100.1;patatin-like phospholipase, putative;51.9;76.3
PF3D7_0209200;PF3D7_0209200.1;exosome complex component MTR3, putative;51.5;81.3
PF3D7_0209300;PF3D7_0209300.1;2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;30.7;74.4
PF3D7_0209400;PF3D7_0209400.1;conserved protein, unknown function;24.6;63.8
PF3D7_0209500;PF3D7_0209500.1;conserved Plasmodium protein, unknown function;10.2;34.5
PF3D7_0209600;PF3D7_0209600.1;transporter, putative;19.1;83.9
PF3D7_0209700;PF3D7_0209700.1;RING zinc finger protein, putative;57.7;92.4
PF3D7_0209800;PF3D7_0209800.1;ATP-dependent RNA helicase UAP56;87.1;96.3
PF3D7_0209900;PF3D7_0209900.1;unspecified product;23.3;71.7
PF3D7_0210000;PF3D7_0210000.1;secretory complex protein 61 gamma subunit;84;98.9
PF3D7_0210100;PF3D7_0210100.1;60S ribosomal protein L37ae, putative;82.1;98.3
PF3D7_0210100;PF3D7_0210100.2;60S ribosomal protein L37ae, putative;82.1;98.3
PF3D7_0210200;PF3D7_0210200.1;conserved Plasmodium protein, unknown function;31.2;47.9
PF3D7_0210300;PF3D7_0210300.1;monocarboxylate transporter, putative;47;92.9
PF3D7_0210400;PF3D7_0210400.1;50S ribosomal protein L33, putative;16.1;93.2
PF3D7_0210500;PF3D7_0210500.1;conserved Plasmodium protein, unknown function;22.4;51.2
PF3D7_0210600;PF3D7_0210600.1;conserved protein, unknown function;43.7;97.3
PF3D7_0210700;PF3D7_0210700.1;syntaxin, Qa-SNARE family;19;72.4
PF3D7_0210800;PF3D7_0210800.1;conserved Plasmodium protein, unknown function;43.5;87.8
PF3D7_0210900;PF3D7_0210900.1;conserved Plasmodium protein, unknown function;79.9;92.7
PF3D7_0211000;PF3D7_0211000.1;unspecified product;21.3;43.1
PF3D7_0211100;PF3D7_0211100.1;conserved Plasmodium protein, unknown function;8.8;33.6
PF3D7_0211200;PF3D7_0211200.1;ras-related protein Rab-5A;47.1;77.8
PF3D7_0211300;PF3D7_0211300.1;ubiquinol-cytochrome-c reductase complex assembly factor 1, putative;21.5;52.9
PF3D7_0211400;PF3D7_0211400.1;beta-ketoacyl-ACP synthase III;8.3;32.6
PF3D7_0211500;PF3D7_0211500.1;GAF domain-related protein, putative;10.5;30.6
PF3D7_0211600;PF3D7_0211600.1;UDP-N-acetylglucosamine transferase subunit ALG14, putative;16.4;74.3
PF3D7_0211700;PF3D7_0211700.1;tyrosine kinase-like protein, putative;12.7;51.1
PF3D7_0211800;PF3D7_0211800.1;asparagine--tRNA ligase;64.3;91
PF3D7_0211900;PF3D7_0211900.1;pseudouridine synthase, putative;40.8;80.5
PF3D7_0212000;PF3D7_0212000.1;GDP-fructose:GMP antiporter, putative;27.2;89.3
PF3D7_0212100;PF3D7_0212100.1;conserved Plasmodium protein, unknown function;51.8;89.2
PF3D7_0212200;PF3D7_0212200.1;ribosomal protein L12, mitochondrial, putative;62.5;84.6
PF3D7_0212300;PF3D7_0212300.1;peptide chain release factor subunit 1, putative;80.1;94
PF3D7_0212400;PF3D7_0212400.1;conserved Plasmodium membrane protein, unknown function;40.9;62.8
PF3D7_0212500;PF3D7_0212500.1;conserved Plasmodium protein, unknown function;37.7;70.4
PF3D7_0212600;PF3D7_0212600.1;secreted protein with altered thrombospondin repeat domain;27.2;92.8
PF3D7_0212700;PF3D7_0212700.1;SRR1-like protein;28;75
PF3D7_0212800;PF3D7_0212800.1;multidrug efflux pump, putative;40.1;52.1
PF3D7_0212900;PF3D7_0212900.1;arginyl-tRNA--protein transferase;36.8;82.4
PF3D7_0213000;PF3D7_0213000.1;conserved protein, unknown function;43.3;79.9
PF3D7_0213100;PF3D7_0213100.1;protein SIS1;81.4;94.9
PF3D7_0213200;PF3D7_0213200.1;conserved protein, unknown function;0;82.1
PF3D7_0213300;PF3D7_0213300.1;conserved protein, unknown function;11.1;64.7
PF3D7_0213400;PF3D7_0213400.1;protein kinase 7;16.2;65.7
PF3D7_0213500;PF3D7_0213500.1;tetratricopeptide repeat protein, putative;25.2;46.2
PF3D7_0213600;PF3D7_0213600.1;conserved Plasmodium protein, unknown function;9.6;16.5
PF3D7_0213700;PF3D7_0213700.1;conserved protein, unknown function;64.8;93.3
PF3D7_0213800;PF3D7_0213800.1;conserved protein, unknown function;12.6;25.8
PF3D7_0213900;PF3D7_0213900.1;RTR1 domain-containing protein, putative;26.8;71.1
PF3D7_0214000;PF3D7_0214000.1;T-complex protein 1 subunit theta;70.1;95.1
PF3D7_0214100;PF3D7_0214100.1;protein transport protein SEC31;88.4;95.9
PF3D7_0214200;PF3D7_0214200.1;ribosomal protein L13, mitochondrial;69;97
PF3D7_0214300;PF3D7_0214300.1;conserved Plasmodium protein, unknown function;15.7;46.2
PF3D7_0214400;PF3D7_0214400.1;conserved protein, unknown function;33.7;89.3
PF3D7_0214500;PF3D7_0214500.1;conserved Plasmodium protein, unknown function;24.2;60
PF3D7_0214600;PF3D7_0214600.1;serine/threonine protein kinase, putative;10.8;64.2
PF3D7_0214700;PF3D7_0214700.1;conserved Plasmodium protein, unknown function;20.9;89.1
PF3D7_0214800;PF3D7_0214800.1;conserved Plasmodium membrane protein, unknown function;51.4;77.9
PF3D7_0214900;PF3D7_0214900.1;rhoptry neck protein 6;10.5;66.1
PF3D7_0215000;PF3D7_0215000.1;acyl-CoA synthetase;40.8;62.4
PF3D7_0215100;PF3D7_0215100.1;RING zinc finger protein, putative;54.2;87.7
